,Description,Division,EndTime,Location,OBJECTID,Recurrence,StartTime,Title,created_date,created_user,last_edited_date,last_edited_user,Simple Location,Latitude,Longitude
0,<div>Community Meeting held in the basement of the Church.<br />Always verify meeting with Officer Simpson or Officer Rowland at 704-336-5729.</div>,Central Division,2097-02-25T20:00:00.000Z,501 North Tryon Street ,4,true,2013-12-30T19:00:00.000Z,Friends of Fourth Ward ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"501+north+tryon+street,+Charlotte,+NC",35.2310067,-80.8392061
1,"<div>Contacts:</div>
<div><a href=""mailto:tcastano@cmpd.org"">tcastano@cmpd.org</a></div>
<div><a href=""mailto:dwippel@cmpd.org"">dwippel@cmpd.org</a></div>",Eastway Division,2097-02-05T19:00:00.000Z,Salvation Army (901 Belmont Ave) ,5,true,2013-12-03T18:00:00.000Z,Belmont Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"901+belmont+ave,+Charlotte,+NC",35.2286364,-80.82147239999999
2,"<div>&nbsp;Officer Ted Castano<br />704-619-3336 </div>
<div>&nbsp;</div>
<div>Officer Wippel</div>
<div><a href=""mailto:dwippel@cmpd.org"">dwippel@cmpd.org</a></div>",Eastway Division,2097-02-11T19:30:00.000Z,"Free Range Brewery 2320 N Davidson St, Charlotte, NC 28205",6,true,2013-12-09T19:00:00.000Z,Villa Heights Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2320+n+davidson+st,+Charlotte,+NC",35.2404827,-80.8132962
3,<div>Contact 2712 Community Coordinators at 704-432-6800 x 267 for verification</div>,Freedom Division,2097-02-11T20:00:00.000Z,506 Coulwood Drive ,12,true,2013-12-09T19:00:00.000Z,Coulwood Hills Community Meeting-Freedom ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"506+coulwood+drive,+Charlotte,+NC",35.2980878,-80.9451155
4,"<div>Contact person: Michael D. Armour<br />Principal Geologist<br />Shield Engineering, Inc.<br />phone: 704.394.6913<br />fax: 704.394.6968<br />direct: 704.971.4143<br /><a href=""http://www.shieldengineering.com"">www.shieldengineering.com</a></div>
<div>&nbsp;<br />Contact Officers:Hartley or Cupples 704-432-6800 Ext. 263</div>",Freedom Division,2013-12-10T12:30:00.000Z,Sports Page Restaurant 8400 Bellhaven Blvd. ,13,false,2013-12-10T11:30:00.000Z,PCPCA quarterly meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8400+bellhaven+blvd,+Charlotte,+NC",35.3038033,-80.9366445
5,<div>Community meeting. Contact Officers&nbsp;J. Simma&nbsp;&amp;BK Nicholson 704-432-6795</div>,Freedom Division,2097-02-12T19:30:00.000Z,100 Bradford Dr,14,true,2013-12-10T18:30:00.000Z,Brookfield Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"100+bradford+dr,+Charlotte,+NC",35.262487,-80.89597499999999
6,<div>Contact Officers&nbsp;J. Simma&nbsp;&amp; B.K. Nicholson 704-432-6795</div>,Freedom Division,2167-03-23T20:00:00.000Z,4820 Tuckaseegee Rd. Tuck Rec Center ,16,true,2017-05-23T19:00:00.000Z,Heather Glenn Community ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4820+tuckaseegee+rd,+Charlotte,+NC",35.2485854,-80.9072497
7,<div>Contact Officer: C. Pierce<br />Phone Number: (704) 336-8300</div>,Metro Division,2014-10-02T19:30:00.000Z,CMPD Metro Office (1118 Beatties Ford Rd.) ,19,true,2013-12-12T18:30:00.000Z,Court Watch ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1118+beatties+ford+rd,+Charlotte,+NC",35.2535321,-80.8556387
8,"<div>NTD Hidden Valley Community Meeting located at M.L.K. Middle School, 500 Bilmark Ave </div>",North Tryon Division,2097-02-03T18:00:00.000Z,500 Bilmark Ave ,21,true,2013-12-03T18:00:00.000Z,NTD Hidden Valley Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"500+bilmark+ave,+Charlotte,+NC",35.2633482,-80.7784325
9,"<div>North Tryon Division RA 0711- Meeting Green Meadow- 833 Vickery <a href=""mailto:Drive@1600"">Drive@1600</a> hours</div>",North Tryon Division,2097-02-06T17:00:00.000Z,833 Vickery Drive ,22,true,2013-12-06T16:00:00.000Z,Green Meadow ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"833+vickery+drive,+Charlotte,+NC",35.2534853,-80.76324810000001
